ID,기능명,설명,비고
1-AUTH-01,로그인,"등록된 사용자만 서비스에 접근할 수 있다. 소셜로그인 사용 (Google, Kakao 등).",필수
1-AUTH-02,회원가입,사용자가 이메일과 비밀번호를 입력하여 회원가입할 수 있다. 이메일 인증 포함.,필수
1-AUTH-03,토큰 발급,인증용 JWT 토큰을 발급하여 세션을 유지한다.,필수
1-AUTH-04,로그아웃,발급된 토큰을 파괴하고 인증정보를 삭제한다.,필수
1-AUTH-05,회원탈퇴,생성된 회원정보를 삭제하고 관련된 모든 데이터를 삭제한다.,선택
2-INFO-01,사용자 정보 입력,"사용자의 성별, 나이 등 기본정보를 입력한다.",필수
2-INFO-02,자산 정보 입력,사용자의 전체 자산 규모 및 투자 자산 규모를 입력한다.,필수
2-INFO-03,투자 성향 입력,"사용자의 투자 성향을 안내에 따라 선택 및 입력한다 (리스크 성향, 투자 기간 등).",필수
3-MAIN-01,투자 성향 입력,사용자가 투자 성향을 선택 및 입력하여 데이터를 업데이트한다.,필수
3-MAIN-02,채권/펀드 추천,사용자의 성향을 분석하여 맞춤형 채권 및 펀드를 추천한다.,필수
3-MAIN-03,금융 데이터 실시간 조회,외부 API를 통해 최신 채권 및 펀드 정보를 제공하고 실시간으로 업데이트한다.,필수
5-ADMIN-01,관리자 대시보드,관리자가 사용자 및 추천 데이터의 통계를 확인할 수 있다.,선택
5-ADMIN-02,사용자 관리,"관리자가 사용자 정보를 검색, 수정, 삭제할 수 있다.",선택
